@id,@lat,@lon,name,tourism
276301646,-35.4586751,148.9478136,Gibraltar Peak,attraction
276312918,-33.7988994,151.0939207,Terry Road Lookout,viewpoint
276341330,-33.7234465,150.3176978,Lomandra Lookout,viewpoint
276570210,-31.8306681,115.7484235,William Marmion Monument,attraction
277105881,-33.6672067,150.6518669,"Hawkesbury Lookout, Yellomundee Regional Park",viewpoint
277654317,-31.8958428,116.7591439,,viewpoint
277695240,-31.8969824,116.7722668,Balladong Farm,museum
277695396,-31.8938625,116.766252,Old Flour Mill,attraction
277751545,-31.8529503,115.7557138,,viewpoint
277751613,-31.8528847,115.7554477,,museum
277752464,-31.8582868,115.7604602,Henderson Environmental Centre,attraction
277918149,-33.7238577,151.2904697,,viewpoint
278367417,-30.409944,152.253915,Woolpack Rocks,viewpoint
279053913,-27.3894173,153.0047633,Downfall Creek Bushland Centre,attraction
281857983,-32.7310309,152.1312572,Gan Gan Hill lookout,viewpoint
282149986,-16.8476558,145.6950511,Skyrail Smithfield Terminal,attraction
282182885,-25.3001768,130.7361654,Kata Tjuta Viewing Area,viewpoint
282182986,-25.2918573,130.7394789,,viewpoint
282182999,-25.2920418,130.7416586,Karingana Lookout,viewpoint
282219476,-25.3300488,130.9990732,Uluru Coach Sunset Viewing Area,viewpoint
282326264,-38.518049,145.1176948,Seal Rocks Lookout,viewpoint
282326309,-38.5188915,145.1196112,,viewpoint
282609703,-13.8271676,131.8320365,Enterprise Pit Mine Lookout,viewpoint
282609712,-13.4324253,132.4184312,,viewpoint
282609713,-13.43181,132.4182052,,viewpoint
282609718,-13.4832731,132.2489999,Bukbukluk Lookout,viewpoint
282610866,-12.8974229,132.5155853,Yellow Water Viewing Platform,viewpoint
282610989,-12.8604948,132.7928005,Nawurlandja Lookout,viewpoint
282613874,-12.8662865,132.8127819,Nawurlandja Lookout,viewpoint
282613889,-12.8645947,132.81584,Gunnwarrdehwarrdde Lookout,viewpoint
282624923,-12.4086061,132.9538815,Nadab Lookout,viewpoint
282889589,-30.5207934,115.0771456,,viewpoint
283064926,-37.491945,145.8765925,Melbourne Lookout,viewpoint
283259511,-30.737676,152.033969,,viewpoint
283932720,-21.6948981,139.5140915,,museum
284581774,-35.784155,147.963704,Mannus Lookout,viewpoint
286276766,-16.6463621,145.5655397,Rex Lookout,viewpoint
286442800,-16.4762756,145.3399707,Yulmbarril,attraction
286442832,-16.4696644,145.3295838,Mossman River Lookout,viewpoint
286442908,-16.4707176,145.3310544,,viewpoint
286463585,-16.2458582,145.4360408,Mount Alexandra Lookout,viewpoint
286463652,-16.2405799,145.4333328,,viewpoint
286463712,-16.2412127,145.4335443,,viewpoint
286463713,-16.2388094,145.432868,Jindalba Board Walk,attraction
286671760,-33.7751393,151.2934212,Brian Green Lookout,viewpoint
286716903,-16.0765917,145.4721362,Kulki Lookout,viewpoint
286716904,-16.0773219,145.4714774,,viewpoint
286722923,-16.9243035,145.3601541,,attraction
286731107,-17.2459437,145.6402342,Twin Kauri Trees,attraction
286894292,-33.4557568,116.0071144,Mica Mine,attraction
286995506,-17.1775099,145.6587597,Cathedral Fig Tree,attraction
288760426,-23.4081145,147.6895611,Miner's Heritage Walk-in Mine,attraction
289287729,-29.0221586,167.9714313,Old Whaling Station,attraction
289546011,-38.4001799,144.1651545,,viewpoint
289560328,-29.0140547,167.9456606,,viewpoint
289561099,-29.0071764,167.9553723,,viewpoint
290556969,-19.3426475,146.7811726,Rotary Lookout,viewpoint
290559862,-19.2574505,146.8042551,,viewpoint
290559864,-19.2577979,146.8044238,,viewpoint
290559867,-19.2581413,146.8044018,Hynes Lookout,viewpoint
290559870,-19.2582059,146.8051009,,viewpoint
290559872,-19.2582531,146.805321,,viewpoint
290652950,-38.3978716,144.2007602,,viewpoint
290653290,-38.3965984,144.2036202,,viewpoint
290653358,-38.3969626,144.2046643,,viewpoint
290655032,-38.4215192,144.1788118,,viewpoint
290655052,-38.421304,144.1793718,,viewpoint
290951002,-38.3884201,144.2010708,,viewpoint
290951020,-38.4224516,144.1785122,,viewpoint
290951096,-38.4188443,144.1801299,,viewpoint
291675297,-29.0158173,167.9368765,Mount Pitt,viewpoint
291963459,-34.6202422,150.7094937,Illawarra Fly,attraction
291992021,-34.6177678,150.7118431,Knights Tower,viewpoint
292156989,-34.0533587,151.0646052,,viewpoint
292157039,-34.0626485,151.0616829,Bungoona Lookout,viewpoint
292430233,-14.9115356,133.0894996,Bitter Springs Thermal Pools,attraction
292430446,-14.9577009,133.2509676,Korowan (Mataranka Falls),viewpoint
292430502,-15.0841215,133.1236314,Elsey Homestead Site,attraction
292436614,-33.476622,151.2511527,,viewpoint
293054926,-37.7551671,144.8815516,,viewpoint
293125004,-33.7213001,150.3185271,Jamieson Lookout,viewpoint
293125306,-33.7219276,150.3221679,,viewpoint
294977485,-38.4290197,144.1554306,Guvvos Beach,viewpoint
295230484,-38.4164678,144.1816488,Anglesey Lookout,viewpoint
295230485,-38.4168001,144.1823655,,viewpoint
296305217,-37.6676376,144.3197893,Falcons Lookout,viewpoint
296360922,-33.5528067,151.2889321,Warrah Lookout,viewpoint
296854477,-20.5828349,139.5750919,Lake Moondarra,viewpoint
297135755,-38.9055137,146.3093908,Millers Landing,viewpoint
298044302,-16.482865,145.4678871,Flagstaff Hill,viewpoint
298331607,-35.3548787,149.2306067,Queanbeyan and District Historical Museum,museum
298331609,-35.3550862,149.2301881,Queanbeyan Printing Museum,museum
298581820,-30.7429932,151.9847215,,viewpoint
298669468,-30.790735,152.034931,,viewpoint
298692763,-30.7355503,152.0336292,,viewpoint
298939730,-33.8107096,150.0371027,Mt Inspiration Lookout,viewpoint
298991442,-35.0821924,149.2615079,Old Saint Lukes Pottery Studio,attraction
299444005,-27.2012528,151.2400969,,viewpoint
300509470,-37.6646207,144.7719804,Organ Pipes,viewpoint
300509500,-37.6651312,144.7654513,Tesselated Pavement,viewpoint
300509514,-37.6643033,144.7671259,Rosette Rock,viewpoint
300692097,-33.6098216,149.1801602,Blayney Windfarm Lookout,viewpoint
300707390,-33.8118225,148.7051807,Cowra Prisoner of War Camp 12,attraction
300756718,-25.3053088,131.9392232,Mount Conner Lookout,viewpoint
300759105,-23.6947188,133.8821799,Anzac Hill,viewpoint
301152855,-20.5893588,139.574503,,viewpoint
301152962,-20.5894212,139.575021,,viewpoint
301153003,-20.5896483,139.5755111,,viewpoint
302180723,-39.0320862,146.3156391,,viewpoint
302180729,-39.0261931,146.3229047,,viewpoint
302182654,-39.0158062,146.32192,,viewpoint
302548343,-30.034658,150.3170978,Glacial Area,viewpoint
303470310,-35.0470885,138.8342359,Historic Windmill,attraction
303696778,-32.4688865,116.8819019,Boyagin Rock,viewpoint
303928605,-33.7749053,151.1346012,,viewpoint
303928640,-33.7759692,151.1371038,Blue Hole,viewpoint
